sender,receiver,text_content,translated_text_content,vader_score,time stamp,cleaned_text,sender_group1,sender_group2,sender_project1,sender_project2,receiver_group1,receiver_group2,receiver_project1,receiver_project2
1,0,あぁ〜かわいい👘🎐💕🥰🥰,"Ah, so cute",0.5949,Wed Jun 04 12:43:36 +0000 2025,あぁ〜かわいい,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
0,1,ありがと☺️👘,Thank you,0.3612,Wed Jun 04 14:16:33 +0000 2025,ありがと,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
1,0,"ひなきちゃん😭
ありがとうね🖤🩷🖤🩷
侑ちゃん持って行ってよかった😍","Hinaki-chan
Thank you
I'm glad I took it with me",0.6705,Sat May 24 23:31:14 +0000 2025,"ひなきちゃん
ありがとうね
侑ちゃん持って行ってよかった",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
0,1,"めっちゃ可愛かったよーーーー！！！！
こちらこそ侑ちゃん連れてってくれてありがとう🩷🖤","It was so cute! ! ! !
Thank you for taking Yu-chan",0.8193,Sun May 25 07:35:13 +0000 2025,"めっちゃ可愛かったよーーーー！！！！
こちらこそ侑ちゃん連れてってくれてありがとう",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
1,2,"ここちゃん🍔🫶
ありがとう🎙️❤️🎀","Koko-chan
thank you",0.3612,Wed Jul 09 12:29:52 +0000 2025,"ここちゃん
ありがとう",Nijigasaki,,Lovelive!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,1,ナイスダブチ👍🍔,Nice Dabuchi,0.4215,Wed Jul 09 13:41:06 +0000 2025,ナイスダブチ,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Nijigasaki,,Lovelive!,
16,2,"ここ氏おめでと！！
今年こそ一緒にオタ活しようね🤝","Congratulations to Koko! !
Let's have a geeky life together this year",0.5972,Wed May 14 15:51:38 +0000 2025,"ここ氏おめでと！！
今年こそ一緒にオタ活しようね",Liella!,,Lovelive!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,16,ありがとーん❣️まじでしようね😎,Thank you so seriously,0.1298,Thu May 15 00:15:30 +0000 2025,ありがとーんまじでしようね,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Liella!,,Lovelive!,
75,2,"ここちお誕生日おめでとう〜🎂
どんなことにも真摯に向き合うところ、あったかい言葉をかけてくれる優しいところ…本当に尊敬しているよ！☺️✨
いつもありがとう🌷
素敵な一年になる魔法かけた🧚🪄","Happy birthday Kokochi
He is so sincere about everything, and kindness who gives warm words... I really respect him!
thank you as always
I made a spell to make a wonderful year",0.9692,Wed May 14 15:04:26 +0000 2025,"ここちお誕生日おめでとう〜
どんなことにも真摯に向き合うところ、あったかい言葉をかけてくれる優しいところ…本当に尊敬しているよ！
いつもありがとう
素敵な一年になる魔法かけた",Ave Mujica,,BanG Dream!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,75,のんちゃん♡嬉しい魔法ありがとう♡,Non-chan's nice magic thank you,0.6486,Thu May 15 00:14:38 +0000 2025,のんちゃん嬉しい魔法ありがとう,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Ave Mujica,,BanG Dream!,
33,2,ここちゃんお誕生日おめでとう〜🎂✨,Happy birthday Koko-chan,0.5719,Wed May 14 15:01:03 +0000 2025,ここちゃんお誕生日おめでとう〜,Hasunosora,,Lovelive!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,33,あまね氏ありがとう❣️😊共演がまた増えそうで嬉しいよ,Thank you Amane I'm happy to see more co-stars appearing again,0.7351,Thu May 15 00:18:27 +0000 2025,あまね氏ありがとう共演がまた増えそうで嬉しいよ,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Hasunosora,,Lovelive!,
74,2,"Happy birthday ここち🎂❣️
ここちのお芝居も歌も演奏もダンスも。。どれも尊敬するほど大好き!!努力を感じられて心に響いてくる!!今年も色んな場所で会えたらいいな☺︎

ここりこの灯-ともしび-を決して絶やさぬよう精進します。これからもよろしくだよー😎✌️","Happy birthday
Kokoto's acting, singing, playing, and dancing. . I love them all the more I respect them!! They really touch my heart by feeling their efforts!! I hope we can meet them in many different places this year too.

We will work hard to ensure that the lights never disappear. I'll continue to look forward to it",0.9776,Wed May 14 23:55:43 +0000 2025,"Happy birthday ここち
ここちのお芝居も歌も演奏もダンスも。。どれも尊敬するほど大好き!!努力を感じられて心に響いてくる!!今年も色んな場所で会えたらいいな︎

ここりこの灯-ともしび-を決して絶やさぬよう精進します。これからもよろしくだよー",Ave Mujica,,BanG Dream!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,74,りこちありがとう❣️ここりこ𝑭𝑶𝑹𝑬𝑽𝑬𝑹…,Thank you Rikochi Kokoriko𝑭𝑶𝑹𝑬𝑽𝑬𝑹…,0.3612,Thu May 15 00:14:15 +0000 2025,りこちありがとうここりこ𝑭𝑶𝑹𝑬𝑽𝑬𝑹…,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Ave Mujica,,BanG Dream!,
81,2,"ココチャマお誕生日おめでとう❣️🫶✨
今年もうまい空気とうまい飯、ドカドカと食っていきましょう( ˇωˇ )☝️","Happy birthday to Cocochama
Let's eat delicious food and delicious food this year (ˇωˇ)",0.9022,Thu May 15 08:29:17 +0000 2025,"ココチャマお誕生日おめでとう
今年もうまい空気とうまい飯、ドカドカと食っていきましょう( ˇωˇ )",MyGO!!!!!,,BanG Dream!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,81,"青木氏ありが㌧❣️
ほまそれ。ドカ食い人生ヨ〜‼️✨️","Thanks Aoki
Yes, that's it. A life of eating so much!",0.7088,Thu May 15 08:41:57 +0000 2025,"青木氏ありが㌧
ほまそれ。ドカ食い人生ヨ〜‼",Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,MyGO!!!!!,,BanG Dream!,
75,3,🫶🥰✨,,0.0,Wed Jun 25 11:26:27 +0000 2025,,Ave Mujica,,BanG Dream!,,Nijigasaki,,Lovelive!,
3,75,🫶🫶🫶🥰またいこー！幸せ時間だったね！！,Come back again! It was a happy time! !,0.6784,Wed Jun 25 11:27:37 +0000 2025,またいこー！幸せ時間だったね！！,Nijigasaki,,Lovelive!,,Ave Mujica,,BanG Dream!,
15,5,まゆちさんありがとう～！会えて嬉しいよぉぉぉ～,Thank you Mayuchi! I'm glad to meet you,0.6996,Sat Jul 12 15:33:24 +0000 2025,まゆちさんありがとう～！会えて嬉しいよぉぉぉ～,Liella!,,Lovelive!,,Nijigasaki,,Lovelive!,
0,5,楽しかったありがと🙏,Thanks for having fun,0.7351,Thu May 29 16:23:25 +0000 2025,楽しかったありがと,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
1,5,良いお便りです☺️,Good news,0.4404,Sun May 18 09:08:56 +0000 2025,良いお便りです,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
5,1,あざます！！,Azama! !,0.0,Sun May 18 09:13:15 +0000 2025,あざます！！,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
1,7,おけけぴよーんってなっててかわいい🍨,It's so cute that it looks like Okekepiyo,0.7481,Mon Jun 09 14:17:19 +0000 2025,おけけぴよーんってなっててかわいい,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
7,1,"かわいいでしょ〜🥰🐶
パピコ自分でブルブルしてたらこうなってた😂","Isn't it cute
This is what happened when I was shaking myself",0.4905,Mon Jun 09 14:28:50 +0000 2025,"かわいいでしょ〜
パピコ自分でブルブルしてたらこうなってた",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
10,9,かわいー！たのしそー！いいなー！,Cute! Fun! That's good!,0.8772,Sat Jun 28 14:49:04 +0000 2025,かわいー！たのしそー！いいなー！,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,10,乗り物最高だった！！！虹のみんなで行きたいねえ☺️,The ride was amazing! ! ! I want to go with everyone in the rainbow,0.7163,Sat Jun 28 15:01:48 +0000 2025,乗り物最高だった！！！虹のみんなで行きたいねえ,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
7,9,ペットはいいゾォ......,Pets are good...,0.4404,Fri Jun 13 05:38:44 +0000 2025,ペットはいいゾォ......,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,7,自分の時間すら足りないのにッッ……まだ飼う訳にはッッ……,I don't even have enough time... I still have no reason to keep it...,0.296,Fri Jun 13 06:06:44 +0000 2025,自分の時間すら足りないのにッッ……まだ飼う訳にはッッ……,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
